 format: day,day,forecast,value location:59_125 Start : 20210801 ,value location:59_125 Start : 20220801 ,value location:59_125 Start : 20200801 
4,4,1,0,0.5,0
4,4,2,0,0,0
4,4,3,0,5,0
4,4,4,0,0.5,0
4,4,5,0,3.5,0
4,4,6,0,0.5,0
4,4,1,0,0.5,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0.5
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,7
4,4,5,0,0,3
4,4,6,0,0,0.5
4,4,1,0,0,2.5
4,4,2,0,0,16.5
4,4,3,0,0,0.5
4,4,4,0,0,2.5
4,4,5,0,0.5,0
4,4,6,0,1,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0.5,0
4,4,4,0,0,0
4,4,5,0,0.5,0
4,4,6,0,1.5,0
4,4,1,0,1,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0.7,0,0
4,4,4,2.9,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0.8,0,0
4,4,4,0.2,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,0,0
4,4,6,0,0,0
,,,,1,0
5,5,1,0,0.5,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0.5
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,1
5,5,6,0,0,0
5,5,1,0,0,0.5
5,5,2,0,0.5,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0.5
5,5,1,0,0,3.5
5,5,2,0,0,0.5
5,5,3,0,0,0.5
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0.5
5,5,1,0,0,0
5,5,2,0,0,1.5
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,1
5,5,6,0,0,10.5
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,17
5,5,3,0,0,0.5
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,1,0
5,5,2,0,0,0
5,5,3,0,0.5,0
5,5,4,0,0,0
5,5,5,0,0,0.5
5,5,6,0,0.5,6
5,5,1,0,0,2
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0.5
5,5,6,0,0,4
5,5,1,0,0,11
5,5,2,0,0,2.5
5,5,3,0,0,1.5
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,1
5,5,2,0,0.5,0.5
5,5,3,0,2.5,0
5,5,4,0,3,0
5,5,5,0,2.5,0.5
5,5,6,0,1.5,0
5,5,1,0,1,0.5
5,5,2,0,2.5,0
5,5,3,0,2,0
5,5,4,0,3,0
5,5,5,0,2,0
5,5,6,0,0.5,0
5,5,1,0,2,0
5,5,2,0,3,0
5,5,3,0,1,0
