 format: day,day,2020,2021,2022
23,23,0,0,0
23,23,0,1.5,0
23,23,0,0.5,0
23,23,0,0,0
23,23,0,0,0
23,23,0,0,0
23,23,0,0,0
23,23,0,1,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0.5,0
24,24,0,1,0
24,24,0,0.5,0
24,24,0,1,0
24,24,0,0.5,0
24,24,0,0,0
24,24,0,0.5,0
24,24,0,0.5,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0.5,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
24,24,0,0,0
25,25,0,0,0.5
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
25,25,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0.5,0,0
26,26,0,0,0
26,26,0,0,0
26,26,1,0,0
26,26,0,0,0
26,26,0.5,0,0
26,26,0,0,0.5
26,26,0,0,0
26,26,0,0,0
26,26,0,0,0
26,26,0.5,0,0
26,26,3.5,0,0
26,26,0.5,0,0
26,26,0.5,0,0
26,26,0,0,0
26,26,0,0.5,0
26,26,0.5,0,0
27,27,0,0,0
27,27,1.5,0,0
27,27,0,0,0
27,27,0,0.5,0
27,27,0,0.5,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,1,0,0
27,27,10.5,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
27,27,0,0,0
28,28,0,0,0
28,28,17,0,0
28,28,0.5,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0,0
28,28,0,0.5,0
28,28,0,0,0
28,28,0,0,1
28,28,0,0.5,0
28,28,0,0,0.5
28,28,0,1.5,0
28,28,0.5,0,0
28,28,6,0,0.5
29,29,2,0,0
29,29,0,0,0
29,29,0,0,0
29,29,0,0,0
29,29,0.5,0,0
29,29,4,0,0
29,29,11,0,0
29,29,2.5,0,0
29,29,1.5,0,0
29,29,0,0,0
29,29,0,0,0
29,29,0,0,0
29,29,1,0,0
29,29,0.5,0,0.5
29,29,0,0,2.5
29,29,0,0,3
29,29,0.5,0,2.5
29,29,0,0,1.5
29,29,0.5,0,1
29,29,0,0,2.5
29,29,0,0,2
29,29,0,0,3
29,29,0,0,2
29,29,0,0,0.5
30,30,0,0,2
30,30,0,0,3
30,30,0,0,1
30,30,0,0,1.5
30,30,0,0,1
30,30,0,0,1
30,30,0,0,1
30,30,0,0,1
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
30,30,0,0,0
31,31,0,0,0
31,31,0,0,0
31,31,0,1.5,0
31,31,0,12,0
31,31,0,12.5,0
31,31,0,15.5,0
31,31,0,12,0
31,31,0,7.5,0
31,31,0,7,0
31,31,0,3.5,0
31,31,0,1.5,0
31,31,0,4.5,0
31,31,0,5.5,0
31,31,0,10.5,0
31,31,0,9.5,0
31,31,0,0,0
31,31,0,0,0
31,31,0,0,0
31,31,0,0,0
31,31,0,0,0
 , ,,,
